[2025-08-30 10:21:18] Exception: Invalid file path in C:\xampp\htdocs\motor\reports.php on line 19
[2025-08-30 10:21:21] Exception: Invalid file path in C:\xampp\htdocs\motor\reports.php on line 19
[2025-08-30 10:21:28] Exception: Invalid file path in C:\xampp\htdocs\motor\reports.php on line 19
[2025-08-30 10:21:42] Exception: Invalid file path in C:\xampp\htdocs\motor\reports.php on line 19
[2025-08-30 10:27:14] Exception: Class "SettingsHelper" not found in C:\xampp\htdocs\motor\includes\header.php on line 23
[2025-08-30 10:27:17] Exception: Class "SettingsHelper" not found in C:\xampp\htdocs\motor\includes\header.php on line 23
[2025-08-30 10:27:20] Exception: Class "SettingsHelper" not found in C:\xampp\htdocs\motor\includes\header.php on line 23
[2025-08-30 10:27:22] Exception: Class "SettingsHelper" not found in C:\xampp\htdocs\motor\includes\header.php on line 23
[2025-08-30 10:28:20] Exception: Class "SettingsHelper" not found in C:\xampp\htdocs\motor\includes\header.php on line 23
[2025-08-30 10:28:21] Exception: Class "SettingsHelper" not found in C:\xampp\htdocs\motor\includes\header.php on line 23
[2025-08-30 10:28:21] Exception: Class "SettingsHelper" not found in C:\xampp\htdocs\motor\includes\header.php on line 23
[2025-08-30 10:28:21] Exception: Class "SettingsHelper" not found in C:\xampp\htdocs\motor\includes\header.php on line 23
[2025-08-30 10:29:30] Exception: Class "SettingsHelper" not found in C:\xampp\htdocs\motor\includes\header.php on line 23
[2025-08-30 10:30:59] Exception: Class "SettingsHelper" not found in C:\xampp\htdocs\motor\includes\header.php on line 22
[2025-08-30 10:32:17] Exception: Class "SettingsHelper" not found in C:\xampp\htdocs\motor\includes\header.php on line 23
[2025-08-30 10:32:20] Exception: Class "SettingsHelper" not found in C:\xampp\htdocs\motor\includes\header.php on line 23
[2025-08-30 10:32:20] Exception: Class "SettingsHelper" not found in C:\xampp\htdocs\motor\includes\header.php on line 23
[2025-08-30 10:32:20] Exception: Class "SettingsHelper" not found in C:\xampp\htdocs\motor\includes\header.php on line 23
[2025-08-30 10:32:23] Exception: Class "SettingsHelper" not found in C:\xampp\htdocs\motor\includes\header.php on line 23
